nmID,dt,openCardCount,addToCartCount,ordersCount,ordersSumRub,buyoutsCount,buyoutsSumRub,cancelCount,cancelSumRub,addToCartConversion,cartToOrderConversion,buyoutPercent,addToWishlist,currency
1195604750,2026-07-02,1,0,0,0,0,0,0,0,0,0,0,0,RUB
1195641585,2026-07-02,3,0,0,0,0,0,0,0,0,0,0,0,RUB
1195651127,2026-07-02,2,0,0,0,0,0,0,0,0,0,0,0,RUB
256036969,2026-07-03,1,1,0,0,0,0,0,0,100,0,0,0,RUB
256267836,2026-07-03,9,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-07-03,510,72,4,130000,0,0,0,0,14,6,0,15,RUB
264722623,2026-07-03,1,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-07-03,636,60,0,0,0,0,0,0,9,0,0,11,RUB
270764754,2026-07-03,157,17,1,34000,0,0,0,0,11,6,0,1,RUB
284082008,2026-07-03,38,2,0,0,0,0,0,0,5,0,0,1,RUB
293965031,2026-07-03,5,0,0,0,0,0,0,0,0,0,0,0,RUB
293981294,2026-07-03,1,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-07-03,211,15,1,42200,0,0,0,0,7,7,0,4,RUB
320770642,2026-07-03,3,0,0,0,0,0,0,0,0,0,0,0,RUB
390144022,2026-07-03,1,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-07-03,1,0,0,0,0,0,0,0,0,0,0,0,RUB
390144967,2026-07-03,1,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-07-03,2,0,0,0,0,0,0,0,0,0,0,0,RUB
475802252,2026-07-03,3,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-07-03,4,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-07-03,99,5,0,0,0,0,0,0,5,0,0,0,RUB
523358338,2026-07-03,125,6,0,0,0,0,0,0,5,0,0,1,RUB
523358339,2026-07-03,6,0,0,0,0,0,0,0,0,0,0,0,RUB
535799733,2026-07-03,1,0,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-07-03,1294,113,4,154690,0,0,0,0,9,4,0,32,RUB
539825996,2026-07-03,278,20,1,58400,0,0,0,0,7,5,0,1,RUB
539838210,2026-07-03,236,14,0,0,0,0,0,0,6,0,0,2,RUB
548929114,2026-07-03,50,11,0,0,0,0,0,0,22,0,0,1,RUB
566938282,2026-07-03,10,0,0,0,0,0,0,0,0,0,0,0,RUB
566954273,2026-07-03,1,1,0,0,0,0,0,0,100,0,0,0,RUB
760090343,2026-07-03,36,1,0,0,0,0,0,0,3,0,0,2,RUB
807108695,2026-07-03,50,7,0,0,0,0,0,0,14,0,0,0,RUB
807135461,2026-07-03,107,8,0,0,0,0,0,0,7,0,0,1,RUB
846223764,2026-07-03,12,1,0,0,0,0,0,0,8,0,0,1,RUB
846223785,2026-07-03,26,0,0,0,0,0,0,0,0,0,0,3,RUB
846223804,2026-07-03,2,0,0,0,0,0,0,0,0,0,0,0,RUB
859094794,2026-07-03,290,24,1,39000,0,0,0,0,8,4,0,10,RUB
859100406,2026-07-03,709,74,7,255500,0,0,0,0,10,9,0,19,RUB
859105127,2026-07-03,114,13,2,67000,0,0,0,0,11,15,0,2,RUB
859126078,2026-07-03,211,20,3,222003,0,0,0,0,9,15,0,1,RUB
876408553,2026-07-03,19,0,0,0,0,0,0,0,0,0,0,1,RUB
879041649,2026-07-03,540,50,2,71002,0,0,0,0,9,4,0,19,RUB
879041650,2026-07-03,294,24,1,35000,0,0,0,0,8,4,0,2,RUB
969113476,2026-07-03,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320625,2026-07-03,7,0,0,0,0,0,0,0,0,0,0,0,RUB
969320633,2026-07-03,2,0,0,0,0,0,0,0,0,0,0,0,RUB
969320635,2026-07-03,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320636,2026-07-03,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320637,2026-07-03,1,0,0,0,0,0,0,0,0,0,0,0,RUB
999066625,2026-07-03,279,30,0,0,0,0,0,0,11,0,0,5,RUB
999069062,2026-07-03,70,7,1,7283,0,0,0,0,10,14,0,1,RUB
1044992327,2026-07-03,1690,277,87,183136,0,0,0,0,16,31,0,29,RUB
1094667689,2026-07-03,145,12,0,0,0,0,0,0,8,0,0,1,RUB
1123433375,2026-07-03,368,29,5,33000,0,0,0,0,8,17,0,5,RUB
1136072186,2026-07-03,718,95,12,75600,0,0,0,0,13,13,0,15,RUB
1136072187,2026-07-03,143,0,0,0,0,0,0,0,0,0,0,0,RUB
1136072188,2026-07-03,1206,157,26,247000,0,0,0,0,13,17,0,38,RUB
1136072189,2026-07-03,136,0,0,0,0,0,0,0,0,0,0,0,RUB
1178158733,2026-07-03,1,0,0,0,0,0,0,0,0,0,0,0,RUB
1178158737,2026-07-03,4,0,0,0,0,0,0,0,0,0,0,0,RUB
1195198814,2026-07-03,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-07-04,37,1,0,0,0,0,0,0,3,0,0,0,RUB
270762735,2026-07-04,34,4,0,0,0,0,0,0,12,0,0,0,RUB
270764754,2026-07-04,12,2,0,0,0,0,0,0,17,0,0,1,RUB
284082008,2026-07-04,1,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-07-04,16,2,0,0,0,0,0,0,13,0,0,0,RUB
390144022,2026-07-04,1,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-07-04,1,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-07-04,1,0,0,0,0,0,0,0,0,0,0,1,RUB
523358337,2026-07-04,12,0,0,0,0,0,0,0,0,0,0,0,RUB
523358338,2026-07-04,8,0,0,0,0,0,0,0,0,0,0,0,RUB
523358339,2026-07-04,2,0,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-07-04,260,9,0,0,0,0,0,0,3,0,0,1,RUB
539825996,2026-07-04,25,0,0,0,0,0,0,0,0,0,0,1,RUB
539838210,2026-07-04,20,1,0,0,0,0,0,0,5,0,0,0,RUB
548929114,2026-07-04,5,0,0,0,0,0,0,0,0,0,0,0,RUB
566938282,2026-07-04,3,0,0,0,0,0,0,0,0,0,0,0,RUB
566954273,2026-07-04,1,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-07-04,6,0,0,0,0,0,0,0,0,0,0,0,RUB
807108695,2026-07-04,9,1,0,0,0,0,0,0,11,0,0,0,RUB
807135461,2026-07-04,10,0,0,0,0,0,0,0,0,0,0,0,RUB
846223764,2026-07-04,1,0,0,0,0,0,0,0,0,0,0,0,RUB
859094794,2026-07-04,16,1,0,0,0,0,0,0,6,0,0,0,RUB
859100406,2026-07-04,29,3,0,0,0,0,0,0,10,0,0,1,RUB
859105127,2026-07-04,20,3,0,0,0,0,0,0,15,0,0,0,RUB
859126078,2026-07-04,21,2,0,0,0,0,0,0,10,0,0,0,RUB
876408553,2026-07-04,1,0,0,0,0,0,0,0,0,0,0,0,RUB
879041649,2026-07-04,32,3,0,0,0,0,0,0,9,0,0,0,RUB
879041650,2026-07-04,14,1,0,0,0,0,0,0,7,0,0,1,RUB
999066625,2026-07-04,35,6,0,0,0,0,0,0,17,0,0,1,RUB
999069062,2026-07-04,8,0,0,0,0,0,0,0,0,0,0,1,RUB
1044992327,2026-07-04,353,61,2,4210,0,0,0,0,17,3,0,8,RUB
1094667689,2026-07-04,12,1,0,0,0,0,0,0,8,0,0,0,RUB
1123433375,2026-07-04,12,1,0,0,0,0,0,0,8,0,0,0,RUB
1136072186,2026-07-04,23,1,2,12600,0,0,0,0,4,200,0,0,RUB
1136072187,2026-07-04,1,0,0,0,0,0,0,0,0,0,0,0,RUB
1136072188,2026-07-04,44,2,2,19000,0,0,0,0,5,100,0,0,RUB
1136072189,2026-07-04,2,0,0,0,0,0,0,0,0,0,0,0,RUB
